subjid,group,food,taste_rating,health_rating
sub-FCT002,HC,french fries.jpg,4.0,1.0
sub-FCT002,HC,grilled chicken strips.jpg,4.0,4.0
sub-FCT002,HC,rigatoni.jpg,4.0,2.0
sub-FCT002,HC,salad w chicken.jpg,4.0,3.0
sub-FCT002,HC,doughnuts.jpg,3.0,1.0
sub-FCT002,HC,Pretzels.jpg,4.0,2.0
sub-FCT002,HC,mashed potato.jpg,4.0,2.0
sub-FCT002,HC,apple slices.jpg,4.0,5.0
sub-FCT002,HC,chicken nuggets2.jpg,4.0,2.0
sub-FCT002,HC,Grapes.jpg,4.0,5.0
sub-FCT002,HC,yogurt pretzels.jpg,5.0,3.0
sub-FCT002,HC,eggs.jpg,2.0,4.0
sub-FCT002,HC,Cheese nachos.jpg,2.0,1.0
sub-FCT002,HC,bagel and cc.jpg,3.0,2.0
sub-FCT002,HC,raisins.jpg,2.0,3.0
sub-FCT002,HC,mini muffins.jpg,3.0,2.0
sub-FCT002,HC,lollipops.jpg,2.0,1.0
sub-FCT002,HC,cucumber slices.jpg,3.0,5.0
sub-FCT002,HC,fried eggs.jpg,4.0,3.0
sub-FCT002,HC,seaweed.jpg,4.0,4.0
sub-FCT002,HC,yellow popcorn.jpg,2.0,1.0
sub-FCT002,HC,reeses.jpg,4.0,1.0
sub-FCT002,HC,pizza.jpg,4.0,1.0
sub-FCT002,HC,brownie.jpg,5.0,1.0
sub-FCT002,HC,trail mix.jpg,3.0,4.0
sub-FCT002,HC,rigatoni and sauce.jpg,4.0,2.0
sub-FCT002,HC,saltines.jpg,3.0,3.0
sub-FCT002,HC,cookies.jpg,4.0,1.0
sub-FCT002,HC,steak.jpg,5.0,2.0
sub-FCT002,HC,yogurt no spoon.jpg,4.0,4.0
sub-FCT002,HC,turkey sandwich.jpg,4.0,3.0
sub-FCT002,HC,soy chips.jpg,3.0,4.0
sub-FCT002,HC,Tribe humus pita.jpg,3.0,4.0
sub-FCT002,HC,tacos.jpg,4.0,2.0
sub-FCT002,HC,mozarella sticks.jpg,4.0,2.0
sub-FCT002,HC,green beans.jpg,4.0,5.0
sub-FCT002,HC,sour patch.jpg,2.0,1.0
sub-FCT002,HC,soup with spoon.jpg,3.0,4.0
sub-FCT002,HC,pickles.jpg,1.0,4.0
sub-FCT002,HC,PB.jpg,2.0,2.0
