subjid,group,ref_food,alt_food,choice_rating
sub-FCT001,HC,bagel and cc.jpg,Tribe humus pita.jpg,4
sub-FCT001,HC,bagel and cc.jpg,tacos.jpg,4
sub-FCT001,HC,bagel and cc.jpg,mozarella sticks.jpg,4
sub-FCT001,HC,bagel and cc.jpg,green beans.jpg,4
sub-FCT001,HC,bagel and cc.jpg,sour patch.jpg,1
sub-FCT001,HC,bagel and cc.jpg,soup with spoon.jpg,2
sub-FCT001,HC,bagel and cc.jpg,pickles.jpg,3
sub-FCT001,HC,bagel and cc.jpg,PB.jpg,2
sub-FCT001,HC,bagel and cc.jpg,1%milk.jpg,2
sub-FCT001,HC,bagel and cc.jpg,Skim milk.jpg,2
sub-FCT001,HC,bagel and cc.jpg,rice cakes.jpg,2
sub-FCT001,HC,bagel and cc.jpg,mushrooms.jpg,1
sub-FCT001,HC,bagel and cc.jpg,burger.jpg,4
sub-FCT001,HC,bagel and cc.jpg,peaches.jpg,5
sub-FCT001,HC,bagel and cc.jpg,kiwi.jpg,5
sub-FCT001,HC,bagel and cc.jpg,sushi w_condiments.jpg,1
sub-FCT001,HC,bagel and cc.jpg,cherries.jpg,5
sub-FCT001,HC,bagel and cc.jpg,baked potato.jpg,1
sub-FCT001,HC,bagel and cc.jpg,grilled cheese.jpg,5
sub-FCT001,HC,bagel and cc.jpg,granola w milk.jpg,2
sub-FCT001,HC,bagel and cc.jpg,baby cheese.jpg,2
sub-FCT001,HC,bagel and cc.jpg,m_and_m.jpg,4
sub-FCT001,HC,bagel and cc.jpg,baguette oil.jpg,2
sub-FCT001,HC,bagel and cc.jpg,orange slices.jpg,5
sub-FCT001,HC,bagel and cc.jpg,string cheese.jpg,2
sub-FCT002,HC,string cheese.jpg,orange slices.jpg,4
sub-FCT002,HC,string cheese.jpg,mushrooms.jpg,2
sub-FCT002,HC,string cheese.jpg,rigatoni and sauce.jpg,4
sub-FCT002,HC,string cheese.jpg,turkey sandwich.jpg,4
sub-FCT002,HC,string cheese.jpg,PB.jpg,2
sub-FCT002,HC,string cheese.jpg,Whole milk.jpg,2
sub-FCT002,HC,string cheese.jpg,doughnuts.jpg,2
sub-FCT002,HC,string cheese.jpg,Tribe humus pita.jpg,4
sub-FCT002,HC,string cheese.jpg,fried eggs.jpg,2
sub-FCT002,HC,string cheese.jpg,Hershey Kisses.jpg,5
sub-FCT002,HC,string cheese.jpg,celery and carrot sticks.jpg,4
sub-FCT002,HC,string cheese.jpg,grilled cheese.jpg,5
sub-FCT002,HC,string cheese.jpg,peaches.jpg,4
sub-FCT002,HC,string cheese.jpg,trail mix.jpg,4
sub-FCT002,HC,string cheese.jpg,apple slices.jpg,4
sub-FCT002,HC,string cheese.jpg,sour patch.jpg,2
sub-FCT002,HC,string cheese.jpg,baked potato.jpg,2
sub-FCT002,HC,string cheese.jpg,mashed potato.jpg,2
sub-FCT002,HC,string cheese.jpg,american cheese.jpg,2
sub-FCT002,HC,string cheese.jpg,cookies.jpg,5
sub-FCT002,HC,string cheese.jpg,grilled chicken strips.jpg,4
sub-FCT002,HC,string cheese.jpg,mozarella sticks.jpg,5
sub-FCT002,HC,string cheese.jpg,banana.jpg,4
